"jaar","maand","nuts3","mrsa","vre","esbl","cre","cpe","facre","fara","cpa","mrpa","ca"
2025,9,"Flevoland",1,0,15,0,0,1,0,0,0,0
2025,9,"Noord-Drenthe",9,0,44,0,0,2,0,0,0,0
2025,9,"Noord-Friesland",20,0,69,1,1,0,0,0,0,0
2025,9,"Noord-Overijssel",1,0,12,0,0,0,0,0,0,0
2025,9,"Oost-Groningen",34,5,26,0,0,0,0,0,0,0
2025,9,"Overig Groningen",43,2,68,30,30,1,6,0,11,0
2025,9,"Zuidoost-Drenthe",15,0,33,0,0,0,0,0,0,0
2025,9,"Zuidoost-Friesland",20,0,21,0,0,0,0,0,0,0
2025,9,"Zuidwest-Drenthe",10,1,20,0,0,0,0,0,0,0
2025,9,"Zuidwest-Friesland",3,0,28,0,0,0,0,0,0,0
2025,10,"Delfzijl en omgeving",4,0,19,0,0,1,1,0,0,0
2025,10,"Flevoland",0,0,15,0,0,1,0,0,0,0
2025,10,"Noord-Drenthe",5,0,36,2,2,1,0,0,0,0
2025,10,"Noord-Friesland",15,0,42,2,2,0,0,0,0,0
2025,10,"Noord-Overijssel",0,0,3,0,0,0,0,0,0,0
2025,10,"Oost-Groningen",19,0,28,2,2,0,0,0,0,0
2025,10,"Overig Groningen",17,0,38,1,1,1,0,0,0,0
2025,10,"Zuidoost-Drenthe",0,0,28,0,0,1,0,0,0,0
2025,10,"Zuidoost-Friesland",17,0,29,0,0,1,0,0,0,0
2025,10,"Zuidwest-Drenthe",6,0,18,0,0,0,0,0,0,0
2025,10,"Zuidwest-Friesland",15,0,24,1,1,0,0,0,0,0
2025,11,"Delfzijl en omgeving",1,0,8,0,0,0,0,0,0,0
2025,11,"Flevoland",0,0,5,0,0,0,0,0,0,0
2025,11,"Noord-Drenthe",6,1,22,2,2,0,0,0,0,0
2025,11,"Noord-Friesland",8,0,46,0,0,4,0,0,0,0
2025,11,"Noord-Overijssel",2,0,2,0,0,0,0,0,0,0
2025,11,"Oost-Groningen",13,0,37,0,0,0,0,0,0,0
2025,11,"Overig Groningen",16,2,41,17,17,3,1,0,9,1
2025,11,"Zuidoost-Drenthe",6,0,24,0,0,1,0,0,0,0
2025,11,"Zuidoost-Friesland",8,0,32,0,0,0,0,0,0,0
2025,11,"Zuidwest-Drenthe",3,0,11,0,0,0,0,0,0,0
2025,11,"Zuidwest-Friesland",6,0,20,0,0,0,0,0,0,0
2025,12,"Delfzijl en omgeving",5,0,8,0,0,0,0,0,0,0
2025,12,"Flevoland",2,0,2,0,0,0,0,0,0,0
2025,12,"Noord-Drenthe",14,0,34,1,1,2,0,0,0,0
2025,12,"Noord-Friesland",14,0,48,0,0,0,0,0,0,0
2025,12,"Noord-Overijssel",2,0,2,0,0,0,0,0,0,0
2025,12,"Oost-Groningen",15,0,28,1,1,2,0,0,0,0
2025,12,"Overig Groningen",32,2,41,6,6,1,0,0,10,0
2025,12,"Zuidoost-Drenthe",15,0,26,0,0,0,0,0,0,0
